acc_state,count,state_lat,state_lng
NJ,5648,40.0583238,-74.4056612
CA,3430,36.778261,-119.4179324
TX,3322,31.9685988,-99.9018131
FL,1074,27.6648274,-81.5157535
PA,270,41.2033216,-77.1945247
MI,268,44.3148443,-85.60236429999999
IL,155,40.6331249,-89.3985283
OK,154,35.0077519,-97.092877
WI,117,43.7844397,-88.7878678
CO,107,37.06250000000001,-95.677068
OH,82,40.4172871,-82.90712300000001
NY,69,40.7127753,-74.0059728
MD,66,39.0457549,-76.64127119999999
KY,38,37.8393332,-84.2700179
NV,31,38.8026097,-116.419389
IA,15,41.8780025,-93.097702
NC,14,35.7595731,-79.01929969999999
MA,13,42.4072107,-71.3824374
WV,12,38.5976262,-80.4549026
CT,11,41.6032207,-73.087749
MO,9,37.9642529,-91.8318334
WA,9,47.7510741,-120.7401385
IN,8,40.2671941,-86.1349019
RI,5,41.5800945,-71.4774291
AR,4,36.1481727,-95.9725076
VA,2,36.103255,-95.8716018
TN,1,35.5174913,-86.5804473
GA,1,32.1656221,-82.9000751
LA,1,34.0522342,-118.2436849
AZ,1,34.0489281,-111.0937311
